record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data_kb,uploaded_data_kb,was_foreground,boot
149,com.facebook.katana,2015-05-06 15:04:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
151,com.facebook.katana,2015-05-06 15:05:01,00:00:04,2015-05-06 09:39:24,0.3994140625,0.4912109375,0,0
153,com.facebook.katana,2015-05-06 15:06:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
156,com.facebook.katana,2015-05-06 15:08:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
159,com.facebook.katana,2015-05-06 15:09:02,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
187,com.facebook.katana,2015-05-06 15:10:02,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
193,com.facebook.katana,2015-05-06 15:11:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
224,com.facebook.katana,2015-05-06 15:17:01,00:00:04,2015-05-06 09:39:24,4.3427734375,2.3662109375,0,0
232,com.facebook.katana,2015-05-06 15:18:01,00:00:04,2015-05-06 09:39:24,0.263671875,0.314453125,0,0
249,com.facebook.katana,2015-05-06 15:21:02,00:00:04,2015-05-06 09:39:24,0.1337890625,0.1796875,0,0
255,com.facebook.katana,2015-05-06 15:22:06,00:00:04,2015-05-06 09:39:24,8.67578125,6.1181640625,0,0
260,com.facebook.katana,2015-05-06 15:23:01,00:00:04,2015-05-06 09:39:24,0.4013671875,0.4755859375,0,0
271,com.facebook.katana,2015-05-06 15:27:01,00:00:04,2015-05-06 09:39:24,0.1337890625,0.1796875,0,0
282,com.facebook.katana,2015-05-06 15:29:12,00:00:04,2015-05-06 09:39:24,0.1953125,0.29296875,0,0
295,com.facebook.katana,2015-05-06 15:31:01,00:00:04,2015-05-06 09:39:24,0.0390625,0.05859375,0,0
313,com.facebook.katana,2015-05-06 15:55:01,00:00:04,2015-05-06 09:39:24,30.17578125,27.451171875,0,0
320,com.facebook.katana,2015-05-06 15:56:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1015625,0,0
338,com.facebook.katana,2015-05-06 16:00:02,00:00:04,2015-05-06 09:39:24,4.2177734375,2.3369140625,0,0
349,com.facebook.katana,2015-05-06 16:03:01,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
356,com.facebook.katana,2015-05-06 16:07:11,00:00:04,2015-05-06 09:39:24,0.4609375,0.6044921875,0,0
371,com.facebook.katana,2015-05-06 16:09:01,00:00:04,2015-05-06 09:39:24,2.826171875,5.4482421875,0,0
383,com.facebook.katana,2015-05-06 16:12:01,00:00:04,2015-05-06 09:39:24,0.3974609375,0.443359375,0,0
388,com.facebook.katana,2015-05-06 16:13:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
394,com.facebook.katana,2015-05-06 16:14:02,00:00:04,2015-05-06 09:39:24,0.1337890625,0.1796875,0,0
397,com.facebook.katana,2015-05-06 16:15:02,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
400,com.facebook.katana,2015-05-06 16:16:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
408,com.facebook.katana,2015-05-06 16:18:02,00:00:04,2015-05-06 09:39:24,5.01953125,2.767578125,0,0
413,com.facebook.katana,2015-05-06 16:20:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
416,com.facebook.katana,2015-05-06 16:22:02,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
421,com.facebook.katana,2015-05-06 16:23:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
427,com.facebook.katana,2015-05-06 16:24:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
435,com.facebook.katana,2015-05-06 16:25:01,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
437,com.facebook.katana,2015-05-06 16:26:01,00:00:04,2015-05-06 09:39:24,0.3994140625,0.4912109375,0,0
442,com.facebook.katana,2015-05-06 16:28:02,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
444,com.facebook.katana,2015-05-06 16:29:02,00:00:04,2015-05-06 09:39:24,0.1318359375,0.1318359375,0,0
447,com.facebook.katana,2015-05-06 16:30:02,00:00:04,2015-05-06 09:39:24,0.265625,0.3115234375,0,0
