record_id,package_name,record_time,foreground_time_usage,last_time_use,downloaded_data,uploaded_data,avg_cpu_usage,max_cpu_usage,was_foreground,boot
415,com.facebook.katana,1430760841454,927468,1430758998446,137,184,-1.0,-1,0,0
422,com.facebook.katana,1430760901647,927468,1430758998446,407,454,-1.0,-1,0,0
425,com.facebook.katana,1430760961576,927468,1430758998446,272,319,-1.0,-1,0,0
428,com.facebook.katana,1430761025393,927468,1430758998446,272,319,-1.0,-1,0,0
432,com.facebook.katana,1430761081308,927468,1430758998446,135,135,-1.0,-1,0,0
472,com.facebook.katana,1430761621093,927468,1430758998446,6134,4783,-1.0,-1,0,0
478,com.facebook.katana,1430761681212,927468,1430758998446,135,104,-1.0,-1,0,0
484,com.facebook.katana,1430761743810,927468,1430761742919,5759,5461,-1.0,-1,0,0
490,com.facebook.katana,1430761801882,987456,1430761803105,13681188,8759258,-1.0,-1,1,0
497,com.facebook.katana,1430761861953,989027,1430761804676,17570,21784,-1.0,-1,1,0
502,com.facebook.katana,1430761922169,989027,1430761804676,2648,1322,-1.0,-1,0,0
507,com.facebook.katana,1430761981106,989027,1430761804676,614,681,-1.0,-1,0,0
